Country/territory,WHO Preferred Vaccine Name,mmm Year,Bilateral/multilateral agreements,Donations,COVAX,AVAT,Unknown,Total Doses Delivered
Australia,AstraZeneca - Vaxzevria,Feb 2021,"3,800,000",(Blank),(Blank),(Blank),(Blank),"3,800,000"
Australia,AstraZeneca - Vaxzevria,Mar 2021,"830,000",(Blank),(Blank),(Blank),(Blank),"830,000"
Australia,AstraZeneca - Vaxzevria,Apr 2021,"707,300",(Blank),(Blank),(Blank),(Blank),"707,300"
Australia,AstraZeneca - Vaxzevria,May 2021,"3,794,200",(Blank),(Blank),(Blank),(Blank),"3,794,200"
Australia,AstraZeneca - Vaxzevria,Jun 2021,"2,579,800",(Blank),(Blank),(Blank),(Blank),"2,579,800"
Australia,AstraZeneca - Vaxzevria,Jul 2021,"1,464,100",(Blank),(Blank),(Blank),(Blank),"1,464,100"
Australia,AstraZeneca - Vaxzevria,Aug 2021,"2,200,000",(Blank),(Blank),(Blank),(Blank),"2,200,000"
Australia,AstraZeneca - Vaxzevria,Sep 2021,"2,323,400",(Blank),(Blank),(Blank),(Blank),"2,323,400"
Australia,AstraZeneca - Vaxzevria,Oct 2021,"4,479,500",(Blank),(Blank),(Blank),(Blank),"4,479,500"
Australia,AstraZeneca - Vaxzevria,Nov 2021,"2,347,800",(Blank),(Blank),(Blank),(Blank),"2,347,800"
Australia,Moderna - Spikevax,Oct 2021,"4,356,100",(Blank),(Blank),(Blank),(Blank),"4,356,100"
Australia,Moderna - Spikevax,Nov 2021,"1,026,800",(Blank),(Blank),(Blank),(Blank),"1,026,800"
Australia,Novavax - Nuvaxovid,Feb 2022,"6,353,300",(Blank),(Blank),(Blank),(Blank),"6,353,300"
Australia,Novavax - Nuvaxovid,Apr 2022,"2,959,800",(Blank),(Blank),(Blank),(Blank),"2,959,800"
Australia,Novavax - Nuvaxovid,Jun 2022,"3,234,300",(Blank),(Blank),(Blank),(Blank),"3,234,300"
Australia,Novavax - Nuvaxovid,Aug 2022,"3,208,100",(Blank),(Blank),(Blank),(Blank),"3,208,100"
Australia,Pfizer BioNTech - Comirnaty,Apr 2021,"173,600",(Blank),(Blank),(Blank),(Blank),"173,600"
Australia,Pfizer BioNTech - Comirnaty,May 2021,"1,406,340",(Blank),(Blank),(Blank),(Blank),"1,406,340"
Australia,Pfizer BioNTech - Comirnaty,Jun 2021,"1,707,030",(Blank),"513,630",(Blank),(Blank),"2,220,660"
Australia,Pfizer BioNTech - Comirnaty,Jul 2021,"3,106,060",(Blank),(Blank),(Blank),(Blank),"3,106,060"
Australia,Pfizer BioNTech - Comirnaty,Aug 2021,"3,000,000",(Blank),(Blank),(Blank),(Blank),"3,000,000"
Australia,Pfizer BioNTech - Comirnaty,Sep 2021,"3,713,770",(Blank),(Blank),(Blank),(Blank),"3,713,770"
Australia,Pfizer BioNTech - Comirnaty,Oct 2021,"10,669,230",(Blank),(Blank),(Blank),(Blank),"10,669,230"
Australia,Pfizer BioNTech - Comirnaty,Nov 2021,"3,479,580",(Blank),(Blank),(Blank),(Blank),"3,479,580"
Cambodia,AstraZeneca - Vaxzevria,Jul 2021,(Blank),(Blank),"332,000",(Blank),(Blank),"332,000"
Cambodia,AstraZeneca - Vaxzevria,Aug 2021,(Blank),"415,000","675,500",(Blank),(Blank),"1,090,500"
Cambodia,AstraZeneca - Vaxzevria,Nov 2021,(Blank),(Blank),"324,000",(Blank),(Blank),"324,000"
Cambodia,AstraZeneca - Vaxzevria,Dec 2021,(Blank),(Blank),"598,400",(Blank),(Blank),"598,400"
Cambodia,AstraZeneca - Vaxzevria,Jan 2022,(Blank),"300,000",(Blank),(Blank),(Blank),"300,000"
Cambodia,AstraZeneca - Vaxzevria,Mar 2022,(Blank),"523,000",(Blank),(Blank),(Blank),"523,000"
Cambodia,BBIL - Covaxin,Dec 2021,"10,000",(Blank),(Blank),(Blank),(Blank),"10,000"
Cambodia,Janssen - Ad26.COV 2.S,Jul 2021,(Blank),(Blank),"450,500",(Blank),(Blank),"450,500"
Cambodia,Janssen - Ad26.COV 2.S,Aug 2021,(Blank),(Blank),"609,600",(Blank),(Blank),"609,600"
Cambodia,Moderna - Spikevax,Nov 2021,(Blank),(Blank),"188,160",(Blank),(Blank),"188,160"
Cambodia,Pfizer BioNTech - Comirnaty,Dec 2021,(Blank),"2,350,000",(Blank),(Blank),(Blank),"2,350,000"
Cambodia,Pfizer BioNTech - Comirnaty,May 2022,(Blank),(Blank),"1,999,530",(Blank),(Blank),"1,999,530"
Cambodia,Pfizer BioNTech - Comirnaty,Jul 2022,(Blank),"336,800",(Blank),(Blank),(Blank),"336,800"
Cambodia,Pfizer BioNTech - Comirnaty,Aug 2022,(Blank),"283,000",(Blank),(Blank),(Blank),"283,000"
Cambodia,SII - Covishield,Mar 2021,(Blank),(Blank),"324,000",(Blank),(Blank),"324,000"
Cambodia,SII - Covishield,Apr 2022,(Blank),"325,000",(Blank),(Blank),(Blank),"325,000"
Cambodia,Sinopharm (Beijing) - BBIBP-CorV,Feb 2021,(Blank),"600,000",(Blank),(Blank),(Blank),"600,000"
Cambodia,Sinopharm (Beijing) - BBIBP-CorV,Mar 2021,(Blank),"703,000",(Blank),(Blank),(Blank),"703,000"
Cambodia,Sinopharm (Beijing) - BBIBP-CorV,Apr 2021,(Blank),"400,000",(Blank),(Blank),(Blank),"400,000"
Cambodia,Sinopharm (Beijing) - BBIBP-CorV,Jun 2021,(Blank),"500,000",(Blank),(Blank),(Blank),"500,000"
Cambodia,Sinopharm (Beijing) - BBIBP-CorV,Jul 2021,"1,000,000","1,000,000",(Blank),(Blank),(Blank),"2,000,000"
Cambodia,Sinopharm (Beijing) - BBIBP-CorV,Aug 2021,(Blank),"1,200,000",(Blank),(Blank),(Blank),"1,200,000"
Cambodia,Sinovac - CoronaVac,Mar 2021,"1,500,000",(Blank),(Blank),(Blank),(Blank),"1,500,000"
Cambodia,Sinovac - CoronaVac,Apr 2021,"500,000",(Blank),(Blank),(Blank),(Blank),"500,000"
Cambodia,Sinovac - CoronaVac,May 2021,"2,000,000",(Blank),(Blank),(Blank),(Blank),"2,000,000"
Cambodia,Sinovac - CoronaVac,Jun 2021,"2,500,000",(Blank),(Blank),(Blank),(Blank),"2,500,000"
Cambodia,Sinovac - CoronaVac,Jul 2021,"4,000,000",(Blank),(Blank),(Blank),(Blank),"4,000,000"
Cambodia,Sinovac - CoronaVac,Aug 2021,"5,000,000",(Blank),(Blank),(Blank),(Blank),"5,000,000"
Cambodia,Sinovac - CoronaVac,Sep 2021,"8,000,000","500,000",(Blank),(Blank),(Blank),"8,500,000"
Cambodia,Sinovac - CoronaVac,Oct 2021,(Blank),"2,000,000","124,800",(Blank),(Blank),"2,124,800"
Cambodia,Sinovac - CoronaVac,Nov 2021,(Blank),"2,000,000",(Blank),(Blank),(Blank),"2,000,000"
