Donor - Recipient - Mechanism - Vaccine,Donated doses,Facilitated doses,Doses delivered,,,
United States of America,"184,087,590","626,677,780","634,167,860",,,
China,"193,795,340",(Blank),"148,431,340",,,
Germany,"118,699,500",(Blank),"117,676,600",,,
France,"87,745,030",(Blank),"74,728,900",,,
Italy,"60,166,080",(Blank),"54,611,670",,,
Spain,"63,939,530",(Blank),"48,785,790",,,
United Kingdom of Great Britain and Northern Ireland,"46,458,980",(Blank),"40,812,970",,,
Japan,"40,557,170",(Blank),"39,664,100",,,
Australia,"41,372,790",(Blank),"34,981,890",,,
Canada,"28,986,350",(Blank),"25,197,550",,,
Netherlands,"23,002,365",(Blank),"21,443,885",,,
A Dose of Hope,"16,520,000",(Blank),"16,520,000",,,
"TSMC, Hon Hai Yonglin, and Tzu Chi","15,000,000",(Blank),"15,249,100",,,
India,"13,824,000",(Blank),"13,824,000",,,
Denmark,"10,778,070",(Blank),"10,778,070",,,
Belgium,"9,963,290",(Blank),"9,204,560",,,
Poland,"12,928,960",(Blank),"7,616,970",,,
Sweden,"12,624,730",(Blank),"7,598,290",,,
Greece,"7,568,170",(Blank),"7,318,170",,,
Portugal,"7,445,370",(Blank),"7,042,270",,,
Norway,"6,797,480",(Blank),"6,797,480",,,
Turkey,"7,157,200",(Blank),"6,017,600",,,
Austria,"7,681,120",(Blank),"5,991,920",,,
Sinopharm,"5,000,000",(Blank),"5,000,000",,,
Argentina,"4,272,000",(Blank),"4,272,000",,,
Hungary,"4,241,800",(Blank),"3,545,800",,,
Republic of Korea,"4,571,880",(Blank),"3,471,480",,,
Bulgaria,"3,424,380",(Blank),"3,374,380",,,
United Arab Emirates,"3,872,450",(Blank),"3,272,450",,,
Saudi Arabia,"3,500,000",(Blank),"3,108,000",,,
New Zealand,"3,196,020",(Blank),"2,776,720",,,
Moderna,"2,772,000",(Blank),"2,772,000",,,
Finland,"2,752,800",(Blank),"2,752,800",,,
Switzerland,"4,741,500",(Blank),"2,464,200",,,
Mexico,"2,196,900",(Blank),"2,196,900",,,
Ireland,"3,738,300",(Blank),"2,053,500",,,
Slovakia,"3,049,100",(Blank),"1,922,700",,,
Croatia,"2,609,700",(Blank),"1,875,300",,,
Slovenia,"2,084,350",(Blank),"1,749,820",,,
Algeria,"1,700,000",(Blank),"1,700,000",,,
Czechia,"2,131,200",(Blank),"1,680,000",,,
Russian Federation,"2,295,000",(Blank),"1,637,500",,,
Sinovac,"1,528,520",(Blank),"1,528,520",,,
Romania,"2,524,620",(Blank),"1,489,620",,,
Malaysia,"1,392,600",(Blank),"1,392,600",,,
Latvia,"1,333,270",(Blank),"1,333,270",,,
Lithuania,"1,322,040",(Blank),"1,005,440",,,
"China, Hong Kong SAR","933,900",(Blank),"933,900",,,
Cambodia,"900,000",(Blank),"900,000",,,
MTN Group,"1,825,000",(Blank),"725,000",,,
Cuba,"608,000",(Blank),"608,000",,,
Luxembourg,"597,050",(Blank),"597,050",,,
QUAD,"525,000",(Blank),"525,000",,,
Dominican Republic,"511,800",(Blank),"511,800",,,
Estonia,"708,800",(Blank),"508,800",,,
Brazil,"500,000",(Blank),"500,000",,,
Thailand,"1,000,000",(Blank),"500,000",,,
Qatar,"481,250",(Blank),"481,250",,,
European Union,"699,085",(Blank),"480,845",,,
Serbia,"557,620",(Blank),"467,300",,,
Maldives,"401,600",(Blank),"401,600",,,
Iran (Islamic Republic of),"1,300,000",(Blank),"400,000",,,
AstraZeneca Viet Nam,"386,400",(Blank),"386,400",,,
Malta,"375,690",(Blank),"375,690",,,
Bhutan,"300,000",(Blank),"300,000",,,
Morocco,"280,000",(Blank),"280,000",,,
Iceland,"376,520",(Blank),"271,720",,,
Azerbaijan,"270,000",(Blank),"270,000",,,
Egypt,"250,000",(Blank),"250,000",,,
Singapore,"345,440",(Blank),"244,800",,,
International Red Crescent Society,"200,000",(Blank),"200,000",,,
Mauritius,"170,000",(Blank),"170,000",,,
Taiwan,"170,000",(Blank),"170,000",,,
Cyprus,"145,300",(Blank),"145,300",,,
Chile,"140,000",(Blank),"140,000",,,
South Africa,"125,400",(Blank),"125,400",,,
Pfizer/BioNTech,"600,130",(Blank),"100,130",,,
International Committee of the Red Cross,"100,000",(Blank),"100,000",,,
Uzbekistan,"600,000",(Blank),"100,000",,,
El Salvador,"78,000",(Blank),"78,000",,,
Alrosa Group,"100,000",(Blank),"75,000",,,
Sesiu Sa Letšoele Le Beta Poho,"60,000",(Blank),"60,000",,,
Suriname,"45,630",(Blank),"45,000",,,
AstraZeneca,"31,400",(Blank),"31,400",,,
Conmebol,"29,300",(Blank),"29,300",,,
Kazakhstan,"25,000",(Blank),"25,000",,,
Zimbabwe,"20,000",(Blank),"20,000",,,
Israel,"20,000",(Blank),"19,500",,,
Saint Vincent and the Grenadines,"16,000",(Blank),"16,000",,,
Dominica,"14,500",(Blank),"14,500",,,
Trinidad and Tobago,"12,000",(Blank),"12,000",,,
Uruguay,"12,000",(Blank),"12,000",,,
Senegal,"14,000",(Blank),"10,070",,,
Grenada,"10,000",(Blank),"10,000",,,
Jordan,"10,000",(Blank),"10,000",,,
Bermuda,"9,000",(Blank),"9,000",,,
Barbados,"8,500",(Blank),"8,500",,,
Norgold,"8,000",(Blank),"8,000",,,
Rostec,"8,000",(Blank),"8,000",,,
Guyana,"7,000",(Blank),"7,000",,,
Monaco,"5,970",(Blank),"5,970",,,
Unknown,"5,000",(Blank),"5,000",,,
Brunei Darussalam,"2,000",(Blank),"2,000",,,
Saint Kitts and Nevis,"2,000",(Blank),"2,000",,,
Bharat Biotech,"1,650,000",(Blank),(Blank),,,
Makhzoumi Foundation,"12,000",(Blank),(Blank),,,
Philippines,"5,000,000",(Blank),(Blank),,,
Sri Lanka,"6,000,000",(Blank),(Blank),,,
