Country/territory,Bilateral/multilateral agreements,Donations,COVAX,AVAT,Unknown,Total Doses Delivered
Afghanistan,(Blank),"3,700,000","16,332,050",(Blank),(Blank),"20,032,050"
Albania,"1,764,852","390,975","331,800",(Blank),"788,448","3,276,075"
Algeria,"15,810,000","200,000","16,149,600",(Blank),(Blank),"32,159,600"
Andorra,(Blank),(Blank),"28,740",(Blank),"140,898","169,638"
Angola,"3,040,000","1,620,000","24,258,720","921,600","217,172","30,057,492"
Anguilla,(Blank),(Blank),(Blank),(Blank),"26,856","26,856"
Antigua and Barbuda,(Blank),"156,390","60,000","38,400",(Blank),"254,790"
Argentina,"139,763,396","3,900,000","7,066,000",(Blank),(Blank),"150,729,396"
Armenia,"779,620","1,624,340","386,400",(Blank),"189,059","2,979,419"
Aruba,(Blank),"12,285",(Blank),(Blank),"178,666","190,951"
Australia,"72,920,110",(Blank),"513,630",(Blank),(Blank),"73,433,740"
Austria,"43,807,703",(Blank),(Blank),(Blank),(Blank),"43,807,703"
Azerbaijan,"430,000","150,000","2,022,390",(Blank),"12,640,434","15,242,824"
Bahamas,(Blank),"318,350","182,130","38,400","30,388","569,268"
Bahrain,"700,000","100,000","107,820",(Blank),"2,911,909","3,819,729"
Bangladesh,"128,724,127","27,509,610","222,749,230",(Blank),(Blank),"378,982,967"
Barbados,"30,000","372,400","114,840",(Blank),(Blank),"517,240"
Belarus,"5,250,000","3,260,000",(Blank),(Blank),"8,820,087","17,330,087"
Belgium,"26,738,495",(Blank),(Blank),(Blank),(Blank),"26,738,495"
Belize,(Blank),"630,950","171,300","148,800",(Blank),"951,050"
Benin,"103,000","1,200,000","4,819,590","734,400",(Blank),"6,856,990"
Bermuda,(Blank),(Blank),"9,600",(Blank),"135,647","145,247"
Bhutan,"198,900","1,282,500","930,620",(Blank),"22,277","2,434,297"
Bolivia (Plurinational State of),"11,138,900","4,650,000","8,649,260",(Blank),(Blank),"24,438,160"
Bosnia and Herzegovina,"22,000","2,421,840","332,640",(Blank),"110,020","2,886,500"
Botswana,"100,000","280,400","1,340,640","1,346,400","238,628","3,306,068"
Brazil,"587,479,160","5,216,600","13,881,600",(Blank),(Blank),"606,577,360"
British Virgin Islands,(Blank),(Blank),(Blank),(Blank),"45,600","45,600"
Brunei Darussalam,"351,090","352,000","100,800",(Blank),"596,644","1,400,534"
Bulgaria,"13,765,780",(Blank),(Blank),(Blank),(Blank),"13,765,780"
Burkina Faso,(Blank),"1,000,000","7,101,880","756,000",(Blank),"8,857,880"
Burundi,(Blank),"500,000",(Blank),"302,400",(Blank),"802,400"
Cabo Verde,(Blank),"584,150","514,640",(Blank),(Blank),"1,098,790"
Cambodia,"24,510,000","18,435,800","5,926,490",(Blank),(Blank),"48,872,290"
Cameroon,(Blank),"200,000","1,577,510","3,031,200",(Blank),"4,808,710"
Canada,"100,276,298","1,000,000","972,000",(Blank),"5,570,910","107,819,208"
Cayman Islands,(Blank),"59,600",(Blank),(Blank),"104,469","164,069"
Central African Republic,(Blank),"150,000","2,973,080","453,600","6,554","3,583,234"
Chad,(Blank),"200,000","8,276,860",(Blank),(Blank),"8,476,860"
Chile,"64,455,674",(Blank),"2,307,800",(Blank),(Blank),"66,763,474"
China,(Blank),"5,000,000",(Blank),(Blank),"3,777,022,200","3,782,022,200"
"China, Hong Kong SAR","21,189,000",(Blank),(Blank),(Blank),"474,465","21,663,465"
"China, Macao SAR","200,000",(Blank),(Blank),(Blank),"1,457,857","1,657,857"
Colombia,"102,178,955","8,016,000","30,131,880",(Blank),(Blank),"140,326,835"
Comoros,(Blank),"400,000","250,380",(Blank),"301,757","952,137"
Congo (DRC),"10,000","2,580,000","8,546,500","7,679,000",(Blank),"18,815,500"
Cook Islands,(Blank),(Blank),(Blank),(Blank),"43,758","43,758"
Costa Rica,"9,559,865","2,139,130","2,559,930",(Blank),"328,322","14,587,247"
Côte d'Ivoire,"1,000,000","375,000","18,164,210","2,498,400",(Blank),"22,037,610"
Croatia,"9,607,370",(Blank),(Blank),(Blank),(Blank),"9,607,370"
Cuba,(Blank),(Blank),(Blank),(Blank),"46,425,060","46,425,060"
Cyprus,"2,858,293","196,000",(Blank),(Blank),(Blank),"3,054,293"
Czechia,"30,613,956","135,620",(Blank),(Blank),(Blank),"30,749,576"
Denmark,"12,221,794",(Blank),(Blank),(Blank),(Blank),"12,221,794"
Djibouti,"100,000","1,400,000","458,880",(Blank),(Blank),"1,958,880"
Dominica,(Blank),"122,200","111,280",(Blank),(Blank),"233,480"
Dominican Republic,"14,718,050","80,000","463,200",(Blank),"2,408,220","17,669,470"
Ecuador,"41,198,796","6,768,470","6,083,250",(Blank),(Blank),"54,050,516"
Egypt,"15,335,000","6,137,240","68,127,210","4,567,200","14,635,919","108,802,569"
El Salvador,"8,528,950","850,800","4,009,250",(Blank),"30,868","13,419,868"
Equatorial Guinea,(Blank),"300,000","60,000",(Blank),"227,990","587,990"
Estonia,"4,094,640",(Blank),(Blank),(Blank),(Blank),"4,094,640"
Eswatini,(Blank),"44,070","542,040",(Blank),"264,828","850,938"
Ethiopia,(Blank),"13,900,000","50,860,610","8,536,800",(Blank),"73,297,410"
Fiji,(Blank),"1,249,500","535,880",(Blank),(Blank),"1,785,380"
Finland,"17,269,525",(Blank),(Blank),(Blank),(Blank),"17,269,525"
France,"219,555,900",(Blank),(Blank),(Blank),(Blank),"219,555,900"
French Polynesia,(Blank),(Blank),(Blank),(Blank),"546,326","546,326"
Gabon,(Blank),"770,000","688,830","698,400",(Blank),"2,157,230"
Gambia,(Blank),"130,600","729,090","52,800","22,403","934,893"
Georgia,"2,628,000","809,570","160,020",(Blank),(Blank),"3,597,590"
Germany,"226,848,142",(Blank),(Blank),(Blank),(Blank),"226,848,142"
Ghana,"23,000","3,010,000","23,255,550","5,865,600","210,533","32,364,683"
Gibraltar,"5,000",(Blank),(Blank),(Blank),"126,844","131,844"
Greece,"28,435,460",(Blank),(Blank),(Blank),(Blank),"28,435,460"
Greenland,(Blank),(Blank),(Blank),(Blank),"87,720","87,720"
Grenada,(Blank),"91,100","129,510",(Blank),"8,092","228,702"
Guatemala,"5,068,400","10,364,000","6,238,900",(Blank),"75,629","21,746,929"
Guinea,"380,000","418,000","7,573,770","108,000","430,420","8,910,190"
Guinea-Bissau,(Blank),"522,070","597,600","324,000",(Blank),"1,443,670"
Guyana,"410,537","427,650","410,760","31,200",(Blank),"1,280,147"
Haiti,(Blank),(Blank),"1,124,700",(Blank),(Blank),"1,124,700"
Honduras,"6,133,480","588,100","8,003,310",(Blank),"3,405,575","18,130,465"
Hong Kong SAR and Macao,"1,343,000",(Blank),(Blank),(Blank),(Blank),"1,343,000"
Humanitarian Buffer,(Blank),(Blank),"1,611,600",(Blank),(Blank),"1,611,600"
Hungary,"33,125,896",(Blank),(Blank),(Blank),(Blank),"33,125,896"
Iceland,"1,449,040",(Blank),(Blank),(Blank),(Blank),"1,449,040"
India,"1,165,176,072",(Blank),"240,000,000",(Blank),"1,007,365,107","2,412,541,179"
Indonesia,"231,543,640","20,825,330","103,898,830",(Blank),"126,506,344","482,774,144"
Iran (Islamic Republic of),"109,200,600","12,065,420","16,006,810",(Blank),"32,709,019","169,981,849"
Iraq,"4,130,950","750,000","9,348,720",(Blank),"7,020,853","21,250,523"
Ireland,"16,263,750",(Blank),(Blank),(Blank),(Blank),"16,263,750"
Israel,"9,120,000",(Blank),(Blank),(Blank),"10,943,088","20,063,088"
Italy,"156,716,318",(Blank),(Blank),(Blank),(Blank),"156,716,318"
Jamaica,"100,000","1,617,760","1,852,870","216,000",(Blank),"3,786,630"
Japan,"316,751,789",(Blank),(Blank),(Blank),(Blank),"316,751,789"
Jordan,"1,150,000","1,200,000","477,750",(Blank),"8,236,022","11,063,772"
Kazakhstan,"7,547,760","150,000",(Blank),(Blank),"15,312,789","23,010,549"
Kenya,(Blank),"5,459,500","25,086,360","1,804,800","150,705","32,501,365"
Kiribati,(Blank),"103,000","189,500",(Blank),(Blank),"292,500"
Kosovo,(Blank),"197,580","1,260,390",(Blank),"1,017,595","2,475,565"
Kuwait,"738,000",(Blank),"35,100",(Blank),"8,268,386","9,041,486"
Kyrgyzstan,"2,470,000","2,270,200","1,528,620",(Blank),(Blank),"6,268,820"
Lao People's Democratic Republic,(Blank),"11,388,740","6,858,360",(Blank),(Blank),"18,247,100"
Latvia,"5,134,815","201,240",(Blank),(Blank),(Blank),"5,336,055"
Lebanon,"672,350","1,924,190","1,626,390",(Blank),"2,145,342","6,368,272"
Lesotho,(Blank),"263,340","1,249,200","705,600",(Blank),"2,218,140"
Liberia,(Blank),"27,000","3,959,400","780,000","58,215","4,824,615"
Libya,"3,360,000","731,250","2,414,070",(Blank),(Blank),"6,505,320"
Liechtenstein,"135,600",(Blank),(Blank),(Blank),(Blank),"135,600"
Lithuania,"9,221,454",(Blank),(Blank),(Blank),(Blank),"9,221,454"
Luxembourg,"2,235,310",(Blank),(Blank),(Blank),(Blank),"2,235,310"
Madagascar,(Blank),"300,000","5,155,280","1,927,200",(Blank),"7,382,480"
Malawi,(Blank),"152,000","7,738,550","1,132,800",(Blank),"9,023,350"
Malaysia,"78,541,350","6,415,000","1,387,200",(Blank),(Blank),"86,343,550"
Maldives,"100,000","400,000","829,840",(Blank),"132,200","1,462,040"
Mali,(Blank),"1,600,000","3,714,660",(Blank),(Blank),"5,314,660"
Malta,"1,400,064",(Blank),(Blank),(Blank),(Blank),"1,400,064"
Mauritania,(Blank),"1,335,000","4,037,670","352,800","307,939","6,033,409"
Mauritius,"420,000","405,000","488,070","439,200","1,118,102","2,870,372"
Mexico,"214,083,785","16,986,900","29,444,040",(Blank),(Blank),"260,514,725"
Monaco,"10,000",(Blank),(Blank),(Blank),"61,655","71,655"
Mongolia,"3,026,060","450,000","1,629,660",(Blank),"1,240,868","6,346,588"
Montenegro,"451,200","560,000","48,000",(Blank),(Blank),"1,059,200"
Montserrat,(Blank),(Blank),(Blank),(Blank),"5,021","5,021"
Morocco,"27,507,000","458,000","5,789,580",(Blank),"27,067,614","60,822,194"
Mozambique,"1,500,000","2,357,200","26,547,180","4,285,500","569,506","35,259,386"
Myanmar,"36,400,000","22,936,000","2,242,800",(Blank),"9,544,322","71,123,122"
Namibia,"250,000","581,600","574,500","650,400",(Blank),"2,056,500"
Nauru,(Blank),"22,850","20,070",(Blank),"3,356","46,276"
Nepal,"2,800,000","9,142,000","41,814,790",(Blank),"10,147,008","63,903,798"
Netherlands,"52,981,426",(Blank),(Blank),(Blank),(Blank),"52,981,426"
New Caledonia,(Blank),(Blank),(Blank),(Blank),"516,316","516,316"
New Zealand,"872,000",(Blank),"100,620",(Blank),"11,986,207","12,958,827"
Nicaragua,"1,200,000","1,650,000","6,465,470",(Blank),"4,770,537","14,086,007"
Niger,(Blank),"625,000","8,112,660",(Blank),(Blank),"8,737,660"
Nigeria,(Blank),"400,000","90,549,730","36,936,200",(Blank),"127,885,930"
Niue,(Blank),(Blank),(Blank),(Blank),"4,599","4,599"
North Macedonia,"734,080","569,440","552,420",(Blank),"379,641","2,235,581"
Norway,"16,338,005",(Blank),(Blank),(Blank),(Blank),"16,338,005"
Oman,"252,600","200,000","529,860",(Blank),"6,836,942","7,819,402"
Pakistan,"125,465,439","3,220,000","128,949,670",(Blank),"76,933,425","334,568,534"
Palau,(Blank),"6,200",(Blank),(Blank),(Blank),"6,200"
Panama,"7,357,728","503,100","484,320",(Blank),"1,196,095","9,541,243"
Papua New Guinea,(Blank),"218,480","1,069,200",(Blank),(Blank),"1,287,680"
Paraguay,"2,643,570","3,382,000","2,437,170",(Blank),"2,188,540","10,651,280"
Peru,"48,825,173","3,035,100","8,261,670",(Blank),"33,136,907","93,258,850"
Philippines,"137,938,970","29,435,850","74,228,930",(Blank),(Blank),"241,603,750"
Poland,"105,449,730",(Blank),(Blank),(Blank),(Blank),"105,449,730"
Portugal,"35,536,190",(Blank),(Blank),(Blank),(Blank),"35,536,190"
Qatar,(Blank),(Blank),"122,400",(Blank),"8,169,602","8,292,002"
Republic of Korea,"143,276,030","1,413,000","2,516,580",(Blank),"6,405,076","153,610,686"
Republic of Moldova,"455,680","956,720","1,087,200",(Blank),"7,566","2,507,166"
Romania,"26,901,835",(Blank),(Blank),(Blank),(Blank),"26,901,835"
Russian Federation,(Blank),(Blank),(Blank),(Blank),"197,122,846","197,122,846"
Rwanda,"4,000,000","3,582,690","15,736,190","561,600","5,033,654","28,914,134"
Saint Helena,(Blank),(Blank),(Blank),(Blank),"8,682","8,682"
Saint Kitts and Nevis,(Blank),"43,000","21,600",(Blank),"6,048","70,648"
Saint Lucia,(Blank),"111,650","207,270",(Blank),(Blank),"318,920"
Saint Vincent and the Grenadines,(Blank),"145,100","137,760",(Blank),(Blank),"282,860"
Samoa,(Blank),"50,000","260,830",(Blank),"182,275","493,105"
San Marino,"11,500",(Blank),(Blank),(Blank),"64,772","76,272"
Sao Tome and Principe,(Blank),"86,000","237,120","79,200","22,721","425,041"
Saudi Arabia,"3,500,000",(Blank),"1,772,430",(Blank),"136,400,390","141,672,820"
Senegal,"200,000","325,000","4,873,980","460,800","407,446","6,267,226"
Serbia,"5,983,650","463,270","797,280",(Blank),"2,143,957","9,388,157"
