Entity,Code,Day,unwillingness_covid_vaccinate_this_week_pct_pop,uncertain_covid_vaccinate_this_week_pct_pop,willingness_covid_vaccinate_this_week_pct_pop,people_vaccinated_per_hundred
Australia,AUS,2021-03-15,27.72,19.8,51.77,0.71
Australia,AUS,2021-04-15,31.32,20.13,43.73,4.82
Australia,AUS,2021-05-15,31.14,20.71,37.45,10.7
Australia,AUS,2021-06-15,28.45,18.91,32.64,20
Australia,AUS,2021-07-15,25.69,15.7,31.04,27.57
Australia,AUS,2021-08-15,18.42,14.2,28.97,38.41
Australia,AUS,2021-09-15,17.58,9.19,17.03,56.2
Australia,AUS,2021-10-15,16.77,5.25,7.72,70.26
Australia,AUS,2021-11-15,15.34,4.91,3.72,76.03
Australia,AUS,2021-12-15,15.02,3.81,2.57,78.6
Australia,AUS,2022-01-15,13.06,2.56,3.31,81.07
Australia,AUS,2022-02-15,11.08,2.26,1.61,85.05
Canada,CAN,2020-12-15,31.35,19.8,48.85,0
Canada,CAN,2021-01-15,28.21,15.71,54.78,1.3
Canada,CAN,2021-02-15,27.46,15.82,54.12,2.6
Canada,CAN,2021-03-15,24.26,13.11,55.85,6.78
Canada,CAN,2021-04-15,24.45,11.68,41.8,22.07
Canada,CAN,2021-05-15,23.32,9.49,23.03,44.16
Canada,CAN,2021-06-15,20.06,6.52,8.25,65.17
Canada,CAN,2021-07-15,18.45,7.96,3.98,69.61
Canada,CAN,2021-08-15,17.11,6.79,3.91,72.19
Canada,CAN,2021-09-15,17.61,4.27,3.27,74.85
Canada,CAN,2021-10-15,16.68,3.49,2.3,77.53
Canada,CAN,2021-11-15,15.91,3.16,2.07,78.86
Canada,CAN,2021-12-15,12.52,2.65,2.66,82.17
Canada,CAN,2022-01-15,10.97,2.6,2.27,84.16
Canada,CAN,2022-02-15,11.97,1.64,1.04,85.35
Denmark,DNK,2020-12-15,30.47,16.38,53.15,0
Denmark,DNK,2021-01-15,18.25,15.19,64.02,2.54
Denmark,DNK,2021-02-15,16.49,10.43,69.12,3.96
Denmark,DNK,2021-03-15,20.42,11.5,58.45,9.63
Denmark,DNK,2021-04-15,17.84,9.75,55.4,17.01
Denmark,DNK,2021-05-15,18.82,11.65,41.83,27.7
Denmark,DNK,2021-06-15,14.79,10.43,26.5,48.28
Denmark,DNK,2021-07-15,16.76,5.68,11.88,65.68
Denmark,DNK,2021-08-15,16.5,5.38,4.03,74.09
Denmark,DNK,2021-09-15,16.64,4.09,3.3,75.97
Denmark,DNK,2021-10-15,17.48,3.24,2.75,76.53
Denmark,DNK,2021-11-15,17.52,2.98,1.91,77.59
Denmark,DNK,2021-12-15,14.68,2.16,2.38,80.78
Denmark,DNK,2022-01-15,13.7,2.64,0.6,83.06
